postcode,postcode_space,postcode area,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Latitude,Longitude
AB392WJ,AB39 2WJ,AB,57.6,53.8,71.37,,14.0,55.8,55.8,,19.5,15.9,20.0,,1.0,16.7,16.7,,0,0,0,1,20,0,20,453.0,429.0,,0.0,430.0,430.0,,,
AB392WL,AB39 2WL,AB,56.1,54.5,67.22,,,54.5,54.5,,19.8,17.6,20.0,,,17.6,17.6,,0,0,0,0,10,0,10,473.0,252.0,,,473.0,473.0,,,
AB392WN,AB39 2WN,AB,54.9,48.8,60.51,1.0,,54.1,54.1,,19.8,16.5,20.0,0.0,,18.2,18.2,,1,0,0,0,9,0,9,495.0,501.0,12.0,,549.0,549.0,,,
AB392WP,AB39 2WP,AB,34.1,33.8,52.01,,23.5,37.3,37.3,,5.6,6.0,10.0,,4.8,6.4,6.4,,0,0,0,4,12,0,12,323.0,260.0,,233.0,353.0,353.0,,,
AB392WQ,AB39 2WQ,AB,46.7,46.3,65.68,4.0,,50.1,50.1,,17.4,15.5,19.58,1.0,,16.8,16.8,,0,1,0,0,11,0,11,412.0,322.0,169.0,,434.0,434.0,,,
AB392WS,AB39 2WS,AB,54.8,50.9,79.91,,19.8,57.4,57.4,,12.9,13.0,20.0,,1.2,15.5,15.5,,0,0,0,5,24,0,24,449.0,156.0,,110.0,519.0,519.0,,,
AB392WT,AB39 2WT,AB,35.0,32.0,61.43,8.7,15.5,39.6,39.6,,10.0,7.9,14.99,1.0,1.8,10.3,10.3,,0,0,3,4,18,0,18,405.0,220.0,28.0,62.0,522.0,522.0,,,
AB392WU,AB39 2WU,AB,39.8,41.4,69.6,,21.8,45.5,45.5,,10.0,10.7,20.0,,4.8,12.0,12.0,,0,0,0,5,24,0,24,635.0,585.0,,193.0,700.0,700.0,,,
AB392XD,AB39 2XD,AB,50.4,38.2,54.78,,17.5,52.3,52.3,,7.9,6.0,10.0,,1.0,9.3,9.3,,0,0,0,2,3,0,3,824.0,350.0,,233.0,1218.0,1218.0,,,
AB392XF,AB39 2XF,AB,28.9,29.6,39.06,,26.3,35.2,35.2,,6.1,6.1,7.44,,5.8,6.7,6.7,,0,0,0,10,6,0,6,458.0,273.0,,538.0,325.0,325.0,,,
AB392XG,AB39 2XG,AB,30.3,27.9,40.0,7.0,22.3,34.7,34.7,,6.8,6.0,8.77,1.0,5.6,6.8,6.8,,0,1,1,14,18,0,18,439.0,271.0,205.0,468.0,442.0,442.0,,,
AB392XH,AB39 2XH,AB,40.6,42.9,63.09,,25.0,44.5,44.5,,11.0,11.5,20.0,,10.0,11.6,11.6,,0,0,0,1,11,0,11,666.0,684.0,,663.0,666.0,666.0,,,
AB392XQ,AB39 2XQ,AB,7.1,6.5,9.67,6.5,,,,,0.6,0.7,1.03,0.7,,,,,1,1,4,0,0,0,0,287.0,232.0,287.0,,,,,,
